AppID,Recommendations,Estimated owners,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Peak CCU
18820,324,50000 - 100000,117,0,121,0,1
19000,1294,200000 - 500000,441,21,646,21,16
19020,0,0 - 20000,0,0,0,0,0
19030,101,0 - 20000,0,0,0,0,1
19080,0,0 - 20000,0,0,0,0,0
19200,323,50000 - 100000,16,0,16,0,0
19320,0,0 - 20000,0,0,0,0,0
19500,0,0 - 20000,0,0,0,0,0
19680,8577,1000000 - 2000000,355,600,129,1133,111
19800,643,100000 - 200000,306,0,354,0,9
19810,0,0 - 20000,0,0,0,0,0
19830,1345,200000 - 500000,46,0,50,0,21
19900,11477,1000000 - 2000000,428,8,238,8,132
19980,2183,200000 - 500000,545,0,589,0,12
20200,0,0 - 20000,0,0,0,0,0
20500,5956,1000000 - 2000000,465,0,244,0,19
20510,11703,1000000 - 2000000,1216,423,549,825,304
20530,1791,500000 - 1000000,162,0,123,0,9
20540,1340,1000000 - 2000000,1566,4,87,4,79
20550,773,100000 - 200000,70,0,52,0,2
20570,1478,1000000 - 2000000,722,0,213,0,95
20700,0,20000 - 50000,30,0,30,0,0
20710,0,20000 - 50000,0,0,0,0,1
20820,550,200000 - 500000,138,0,81,0,2
20900,63798,2000000 - 5000000,822,19,147,37,980
20920,66343,2000000 - 5000000,845,734,314,734,846
21000,5206,500000 - 1000000,314,32,141,32,106
21010,409,20000 - 50000,0,0,0,0,1
21030,175,20000 - 50000,78,0,78,0,0
21090,7862,1000000 - 2000000,289,65,176,65,74
21100,5192,1000000 - 2000000,264,0,150,0,42
21110,7859,1000000 - 2000000,189,0,199,0,13
21120,7873,1000000 - 2000000,172,0,277,0,16
21130,4716,500000 - 1000000,515,0,226,0,232
21300,0,0 - 20000,0,0,0,0,0
21400,0,0 - 20000,0,0,0,0,0
21500,0,0 - 20000,0,0,0,0,0
21600,183,20000 - 50000,61,0,61,0,0
21640,138,20000 - 50000,75,0,121,0,1
21660,445,100000 - 200000,1187,0,328,0,3
21670,1043,200000 - 500000,148,0,267,0,7
21680,589,200000 - 500000,96,0,98,0,0
21690,21219,1000000 - 2000000,942,408,557,534,947
21780,784,50000 - 100000,284,0,284,0,6
21800,643,100000 - 200000,262,0,467,0,19
21980,2612,200000 - 500000,569,0,342,0,23
22000,3572,1000000 - 2000000,103,5,46,5,16
22100,4407,500000 - 1000000,906,0,213,0,131
22120,2002,200000 - 500000,214,0,93,0,5
22130,434,100000 - 200000,0,0,0,0,92
22180,2595,200000 - 500000,154,0,107,0,6
22200,1770,200000 - 500000,137,0,185,0,1
22230,2760,200000 - 500000,157,0,123,0,6
22300,14263,500000 - 1000000,702,0,308,0,122
22310,822,100000 - 200000,8,0,8,0,2
